job_id,job_title,category,experience_level,location,required_skills,job_description
1,Data Scientist,Data & AI,Mid Level,"Faisalabad Punjab, Remote","python, r, sql, machine learning, pandas, numpy, scikit-learn, statistics, data visualization, deep learning","Analyze complex datasets, build predictive models using machine learning algorithms, and derive actionable business insights using Python and SQL."
2,Machine Learning Engineer,Data & AI,Mid Level,"Remote, San Francisco","python, pytorch, tensorflow, machine learning, deep learning, MLOps, docker, sql, computer vision, nlp","Design, train, and deploy production machine learning models and deep learning architecture using PyTorch/TensorFlow and MLOps tools."
3,Data Analyst,Data & AI,Entry Level,"Faisalabad Punjab, New York","sql, excel, python, tableau, power bi, data visualization, statistics, communication","Collect, process, and perform statistical analysis on data to create interactive dashboards and business reports."
4,Data Engineer,Data & AI,Senior Level,"Austin, Remote","python, sql, spark, Hadoop, apache airflow, kafka, aws, snowflake, data warehousing, ETL","Build and optimize scalable data pipelines, data warehouses, and ETL workflows using Apache Spark, SQL, and AWS."
5,AI Research Scientist,Data & AI,Senior Level,"San Francisco, Remote","python, pytorch, deep learning, reinforcement learning, mathematics, algorithms, research, nlp, transformers","Conduct cutting-edge artificial intelligence research, publish papers, and develop novel neural network models."
6,Frontend Developer,Software Engineering,Entry Level,"Faisalabad Punjab, Remote","html, css, javascript, react, typescript, responsive design, git, web performance","Create responsive, high-performance web applications and interactive user interfaces using React and modern CSS."
7,Backend Engineer,Software Engineering,Mid Level,"New York, Remote","python, django, fastapi, node.js, postgresql, REST APIs, docker, redis, microservices","Develop robust RESTful APIs, manage databases, and architect scalable microservices using Python and Docker."
8,Full Stack Developer,Software Engineering,Mid Level,"Austin, Remote","javascript, react, node.js, express, mongodb, postgresql, html, css, git, rest api","Build end-to-end web applications managing both client-side React UI and server-side Node.js/Express APIs."
9,Mobile App Developer (iOS/Android),Software Engineering,Mid Level,"Remote, London","flutter, dart, react native, swift, kotlin, mobile design, REST APIs, git","Develop cross-platform mobile applications for iOS and Android using Flutter or React Native."
10,Embedded Systems Engineer,Software Engineering,Senior Level,"San Francisco, Austin","c, c++, microcontrollers, rtos, iot, firmware, hardware interfacing, assembly","Design, code, and test low-level firmware and embedded operating systems for IoT hardware devices."
11,DevOps Engineer,Cloud & Infrastructure,Mid Level,"Faisalabad Punjab, Remote","docker, kubernetes, terraform, aws, ci/cd, linux, bash, python, ansible, monitoring","Automate infrastructure deployment, build CI/CD pipelines, and manage cloud workloads using Docker and Kubernetes."
12,Cloud Architect,Cloud & Infrastructure,Senior Level,"New York, Remote","aws, azure, GCP, cloud security, terraform, system design, networking, kubernetes, cost optimization","Architect secure, resilient, and cost-efficient enterprise cloud infrastructure across AWS and Azure."
13,Site Reliability Engineer (SRE),Cloud & Infrastructure,Senior Level,"Remote, Austin","linux, python, go, kubernetes, prometheus, grafana, incident management, ci/cd, terraform","Ensure continuous uptime, observability, and performance optimization for critical cloud production environments."
14,Systems Administrator,Cloud & Infrastructure,Entry Level,"Faisalabad Punjab, Local","linux, windows server, networking, bash, active directory, shell scripting, troubleshooting, security","Maintain IT infrastructure, manage user permissions, monitor system performance, and troubleshoot technical issues."
15,Cyber Security Analyst,Cybersecurity,Entry Level,"Faisalabad Punjab, Remote","network security, penetration testing, wireshark, SIEM, incident response, linux, python, vulnerability assessment","Monitor security alerts, conduct vulnerability scans, and safeguard organizational networks against cyber threats."
16,Penetration Tester / Ethical Hacker,Cybersecurity,Mid Level,"Remote, New York","metasploit, burp suite, python, network security, web security, linux, cryptography, vulnerability assessment","Perform ethical hacking, penetration testing, and security audits to discover system vulnerabilities before attackers do."
17,Security Engineer,Cybersecurity,Senior Level,"San Francisco, Remote","cloud security, cryptography, python, incident response, firewalls, identity management, zero trust, SIEM","Build defensive security systems, implement zero-trust architecture, and secure cloud environments against breach threats."
18,Product Manager,Product & Design,Mid Level,"Austin, Remote","agile, scrum, product roadmap, user research, wireframing, data analysis, communication, JIRA, market analysis","Define product vision, prioritize feature roadmaps, collaborate with engineering teams, and drive product launches."
19,UI/UX Designer,Product & Design,Entry Level,"Faisalabad Punjab, Remote","figma, Adobe XD, wireframing, prototyping, user research, usability testing, typography, responsive design","Design intuitive user journeys, wireframes, and beautiful interactive visual interface components using Figma."
20,Business Analyst,Product & Design,Entry Level,"New York, Local","sql, excel, business analysis, requirements gathering, tableau, process modeling, communication, agile","Bridge business requirements with IT solutions by analyzing processes, gathering specifications, and creating documentation."
21,QA Automation Engineer,Product & Design,Mid Level,"Faisalabad Punjab, Remote","selenium, python, pytest, cypress, CI/CD, API testing, test automation, JIRA, git","Write automated end-to-end and API test scripts to ensure high software quality across releases."
22,NLP Engineer,Data & AI,Senior Level,"Remote, San Francisco","python, pytorch, transformers, huggingface, nlp, spacy, bert, LLMs, machine learning","Build Natural Language Processing models, speech recognition systems, and Large Language Model applications."
23,Blockchain Developer,Software Engineering,Mid Level,"Remote, London","solidity, ethereum, smart contracts, web3.js, cryptography, rust, blockchain architecture, node.js","Write secure smart contracts and decentralized applications (DApps) on Ethereum using Solidity and Web3."
24,Database Administrator (DBA),Cloud & Infrastructure,Mid Level,"Austin, Local","postgresql, mysql, oracle, SQL optimization, database backup, replication, security, performance tuning","Maintain database integrity, design disaster recovery plans, and optimize SQL query performance."
25,Game Developer,Software Engineering,Entry Level,"Remote, San Francisco","c#, unity, 3d modeling, game physics, c++, linear algebra, game design, animation","Develop 2D and 3D interactive games using Unity and C#, implementing game physics and mechanics."
